IUCN Category,Species,Country,Unit,PowerCode,Value
Number of endangered species,Marine Fish,Italy,Number,Units,6
Number of critically endangered species,Fish,Italy,Number,Units,21
Number of critically endangered species,Marine Fish,Italy,Number,Units,10
Number of vulnerable species,Fish,Italy,Number,Units,14
Number of vulnerable species,Marine Fish,Italy,Number,Units,6
Total number of threatened species,Fish,Italy,Number,Units,47
Total number of threatened species,Marine Fish,Italy,Number,Units,22
Threatened species as % of known species,Fish,Italy,Percentage,Units,7.332
Threatened species as % of known species,Marine Fish,Italy,Percentage,Units,4.044
Total number of known species,Fish,New Zealand,Number,Units,289
Total number of known species,Marine Fish,New Zealand,Number,Units,214
Total number of indigenous known species,Fish,New Zealand,Number,Units,258
Total number of indigenous known species,Marine Fish,New Zealand,Number,Units,204
Number of endangered indigenous species,Fish,New Zealand,Number,Units,6
Number of critically endangered indigenous species,Fish,New Zealand,Number,Units,4
Number of vulnerable indigenous species,Fish,New Zealand,Number,Units,12
Total number of indigenous threatened species,Fish,New Zealand,Number,Units,22
Threatened indigenous species as % of indigenous spec.,Fish,New Zealand,Percentage,Units,8.527
Number of endangered indigenous species,Vascular plants,Sweden,Number,Units,114
Number of critically endangered indigenous species,Vascular plants,Sweden,Number,Units,43
Number of vulnerable indigenous species,Vascular plants,Sweden,Number,Units,113
Total number of indigenous threatened species,Vascular plants,Sweden,Number,Units,270
Threatened indigenous species as % of indigenous spec.,Vascular plants,Sweden,Percentage,Units,17.297
Total number of known species,Mosses,Canada,Number,Units,1373
Total number of indigenous known species,Mosses,Canada,Number,Units,1364
Number of endangered species,Mosses,Canada,Number,Units,85
Number of endangered species,Lichens,Canada,Number,Units,51
Number of vulnerable species,Mosses,Canada,Number,Units,134
Number of vulnerable species,Lichens,Canada,Number,Units,63
Total number of threatened species,Mosses,Canada,Number,Units,294
Total number of threatened species,Lichens,Canada,Number,Units,184
Number of endangered indigenous species,Mosses,Canada,Number,Units,85
Number of endangered indigenous species,Lichens,Canada,Number,Units,51
Number of vulnerable indigenous species,Mosses,Canada,Number,Units,134
Number of vulnerable indigenous species,Lichens,Canada,Number,Units,63
Total number of indigenous threatened species,Mosses,Canada,Number,Units,294
Total number of indigenous threatened species,Lichens,Canada,Number,Units,184
Threatened species as % of known species,Mosses,Canada,Percentage,Units,21.413
Threatened indigenous species as % of indigenous spec.,Mosses,Canada,Percentage,Units,21.554
Total number of known species,Mosses,Finland,Number,Units,892
Total number of known species,Lichens,Finland,Number,Units,1594
Total number of known species,Invertebrates,Finland,Number,Units,23950
Total number of indigenous known species,Mosses,Finland,Number,Units,892
Total number of indigenous known species,Lichens,Finland,Number,Units,1594
Total number of indigenous known species,Invertebrates,Finland,Number,Units,23950
Number of endangered species,Reptiles,Finland,Number,Units,0
Number of endangered species,Amphibians,Finland,Number,Units,1
Number of endangered species,Mosses,Finland,Number,Units,70
Number of endangered species,Lichens,Finland,Number,Units,81
Number of endangered species,Invertebrates,Finland,Number,Units,393
Number of critically endangered species,Reptiles,Finland,Number,Units,0
Number of critically endangered species,Amphibians,Finland,Number,Units,0
Number of critically endangered species,Mosses,Finland,Number,Units,37
Number of critically endangered species,Lichens,Finland,Number,Units,63
Number of critically endangered species,Invertebrates,Finland,Number,Units,123
Number of vulnerable species,Mosses,Finland,Number,Units,76
Number of vulnerable species,Lichens,Finland,Number,Units,124
Number of vulnerable species,Invertebrates,Finland,Number,Units,739
Total number of threatened species,Mosses,Finland,Number,Units,183
Total number of threatened species,Lichens,Finland,Number,Units,268
Total number of threatened species,Invertebrates,Finland,Number,Units,1255
Number of endangered indigenous species,Amphibians,Finland,Number,Units,1
Number of endangered indigenous species,Mosses,Finland,Number,Units,70
Number of endangered indigenous species,Lichens,Finland,Number,Units,81
Number of endangered indigenous species,Invertebrates,Finland,Number,Units,393
Number of critically endangered indigenous species,Mosses,Finland,Number,Units,37
Number of critically endangered indigenous species,Lichens,Finland,Number,Units,63
Number of critically endangered indigenous species,Invertebrates,Finland,Number,Units,123
Number of vulnerable indigenous species,Mosses,Finland,Number,Units,76
Number of vulnerable indigenous species,Lichens,Finland,Number,Units,124
Number of vulnerable indigenous species,Invertebrates,Finland,Number,Units,739
Total number of indigenous threatened species,Mosses,Finland,Number,Units,183
Total number of indigenous threatened species,Lichens,Finland,Number,Units,268
Total number of indigenous threatened species,Invertebrates,Finland,Number,Units,1255
Threatened species as % of known species,Mosses,Finland,Percentage,Units,20.516
Threatened species as % of known species,Lichens,Finland,Percentage,Units,16.813
Threatened species as % of known species,Invertebrates,Finland,Percentage,Units,5.24
Threatened indigenous species as % of indigenous spec.,Mosses,Finland,Percentage,Units,20.516
Threatened indigenous species as % of indigenous spec.,Lichens,Finland,Percentage,Units,16.813
Threatened indigenous species as % of indigenous spec.,Invertebrates,Finland,Percentage,Units,5.24
Total number of known species,Fish,Germany,Number,Units,186
Total number of known species,Marine Fish,Germany,Number,Units,93
Total number of known species,Mosses,Germany,Number,Units,1121
Total number of known species,Lichens,Germany,Number,Units,1794
Total number of known species,Invertebrates,Germany,Number,Units,10256
Total number of indigenous known species,Fish,Germany,Number,Units,172
Total number of indigenous known species,Marine Fish,Germany,Number,Units,93
Total number of indigenous known species,Mosses,Germany,Number,Units,1121
Total number of indigenous known species,Lichens,Germany,Number,Units,1794
Total number of indigenous known species,Invertebrates,Germany,Number,Units,10165
Number of endangered species,Fish,Germany,Number,Units,14
Number of endangered species,Marine Fish,Germany,Number,Units,5
Number of endangered species,Mosses,Germany,Number,Units,104
Number of endangered species,Lichens,Germany,Number,Units,165
Number of endangered species,Invertebrates,Germany,Number,Units,1011
Number of critically endangered species,Amphibians,Germany,Number,Units,0
Number of critically endangered species,Fish,Germany,Number,Units,12
Number of critically endangered species,Marine Fish,Germany,Number,Units,4
Number of critically endangered species,Mosses,Germany,Number,Units,28
Number of critically endangered species,Lichens,Germany,Number,Units,306
Number of critically endangered species,Invertebrates,Germany,Number,Units,559
Number of vulnerable species,Fish,Germany,Number,Units,23
Number of vulnerable species,Marine Fish,Germany,Number,Units,12
Number of vulnerable species,Mosses,Germany,Number,Units,327
Number of vulnerable species,Lichens,Germany,Number,Units,456
Number of vulnerable species,Invertebrates,Germany,Number,Units,2183
Total number of threatened species,Fish,Germany,Number,Units,49
Total number of threatened species,Marine Fish,Germany,Number,Units,21
Total number of threatened species,Mosses,Germany,Number,Units,459
Total number of threatened species,Lichens,Germany,Number,Units,927
Total number of threatened species,Invertebrates,Germany,Number,Units,3753
Number of endangered indigenous species,Fish,Germany,Number,Units,14
Number of endangered indigenous species,Marine Fish,Germany,Number,Units,5
Number of endangered indigenous species,Mosses,Germany,Number,Units,104
Number of endangered indigenous species,Lichens,Germany,Number,Units,165
Number of endangered indigenous species,Invertebrates,Germany,Number,Units,1011
Number of critically endangered indigenous species,Amphibians,Germany,Number,Units,0
Number of critically endangered indigenous species,Fish,Germany,Number,Units,12
Number of critically endangered indigenous species,Marine Fish,Germany,Number,Units,4
Number of critically endangered indigenous species,Mosses,Germany,Number,Units,28
Number of critically endangered indigenous species,Lichens,Germany,Number,Units,306
Number of critically endangered indigenous species,Invertebrates,Germany,Number,Units,559
Number of vulnerable indigenous species,Fish,Germany,Number,Units,23
Number of vulnerable indigenous species,Marine Fish,Germany,Number,Units,12
Number of vulnerable indigenous species,Mosses,Germany,Number,Units,327
Number of vulnerable indigenous species,Lichens,Germany,Number,Units,456
Number of vulnerable indigenous species,Invertebrates,Germany,Number,Units,2183
Total number of indigenous threatened species,Fish,Germany,Number,Units,49
Total number of indigenous threatened species,Marine Fish,Germany,Number,Units,21
Total number of indigenous threatened species,Mosses,Germany,Number,Units,459
Total number of indigenous threatened species,Lichens,Germany,Number,Units,927
Total number of indigenous threatened species,Invertebrates,Germany,Number,Units,3753
Threatened species as % of known species,Fish,Germany,Percentage,Units,26.344
Threatened species as % of known species,Marine Fish,Germany,Percentage,Units,22.581
Threatened species as % of known species,Mosses,Germany,Percentage,Units,40.946
Threatened species as % of known species,Lichens,Germany,Percentage,Units,51.672
Threatened species as % of known species,Invertebrates,Germany,Percentage,Units,36.593
Threatened indigenous species as % of indigenous spec.,Fish,Germany,Percentage,Units,28.488
Threatened indigenous species as % of indigenous spec.,Marine Fish,Germany,Percentage,Units,22.581
Threatened indigenous species as % of indigenous spec.,Mosses,Germany,Percentage,Units,40.946
Threatened indigenous species as % of indigenous spec.,Lichens,Germany,Percentage,Units,51.672
Threatened indigenous species as % of indigenous spec.,Invertebrates,Germany,Percentage,Units,36.921
