Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2013,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2014,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2015,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2016,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2017,Austria,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2000,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,1572.0
2001,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,1542.0
2002,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,1512.0
2003,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,1483.0
2004,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,557.0
2005,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,534.8
2006,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,484.8
2007,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,427.2
2008,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,373.1
2009,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,302.1
2010,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,153.3
2011,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,229.9
2012,Austria,LANDFILL,Landfill,TONNE,Tonnes,Thousands,207.3
